DATE,USRECDM
01/06/1976,0
01/07/1976,0
01/08/1976,0
01/09/1976,0
01/10/1976,0
01/11/1976,0
01/12/1976,0
01/01/1977,0
01/02/1977,0
01/03/1977,0
01/04/1977,0
01/05/1977,0
01/06/1977,0
01/07/1977,0
01/08/1977,0
01/09/1977,0
01/10/1977,0
01/11/1977,0
01/12/1977,0
01/01/1978,0
01/02/1978,0
01/03/1978,0
01/04/1978,0
01/05/1978,0
01/06/1978,0
01/07/1978,0
01/08/1978,0
01/09/1978,0
01/10/1978,0
01/11/1978,0
01/12/1978,0
01/01/1979,0
01/02/1979,0
01/03/1979,0
01/04/1979,0
01/05/1979,0
01/06/1979,0
01/07/1979,0
01/08/1979,0
01/09/1979,0
01/10/1979,0
01/11/1979,0
01/12/1979,0
01/01/1980,1
01/02/1980,1
01/03/1980,1
01/04/1980,1
01/05/1980,1
01/06/1980,1
01/07/1980,0
01/08/1980,0
01/09/1980,0
01/10/1980,0
01/11/1980,0
01/12/1980,0
01/01/1981,0
01/02/1981,0
01/03/1981,0
01/04/1981,0
01/05/1981,0
01/06/1981,0
01/07/1981,1
01/08/1981,1
01/09/1981,1
01/10/1981,1
01/11/1981,1
01/12/1981,1
01/01/1982,1
01/02/1982,1
01/03/1982,1
01/04/1982,1
01/05/1982,1
01/06/1982,1
01/07/1982,1
01/08/1982,1
01/09/1982,1
01/10/1982,1
01/11/1982,0
01/12/1982,0
01/01/1983,0
01/02/1983,0
01/03/1983,0
01/04/1983,0
01/05/1983,0
01/06/1983,0
01/07/1983,0
01/08/1983,0
01/09/1983,0
01/10/1983,0
01/11/1983,0
01/12/1983,0
01/01/1984,0
01/02/1984,0
01/03/1984,0
01/04/1984,0
01/05/1984,0
01/06/1984,0
01/07/1984,0
01/08/1984,0
01/09/1984,0
01/10/1984,0
01/11/1984,0
01/12/1984,0
01/01/1985,0
01/02/1985,0
01/03/1985,0
01/04/1985,0
01/05/1985,0
01/06/1985,0
01/07/1985,0
01/08/1985,0
01/09/1985,0
01/10/1985,0
01/11/1985,0
01/12/1985,0
01/01/1986,0
01/02/1986,0
01/03/1986,0
01/04/1986,0
01/05/1986,0
01/06/1986,0
01/07/1986,0
01/08/1986,0
01/09/1986,0
01/10/1986,0
01/11/1986,0
01/12/1986,0
01/01/1987,0
01/02/1987,0
01/03/1987,0
01/04/1987,0
01/05/1987,0
01/06/1987,0
01/07/1987,0
01/08/1987,0
01/09/1987,0
01/10/1987,0
01/11/1987,0
01/12/1987,0
01/01/1988,0
01/02/1988,0
01/03/1988,0
01/04/1988,0
01/05/1988,0
01/06/1988,0
01/07/1988,0
01/08/1988,0
01/09/1988,0
01/10/1988,0
01/11/1988,0
01/12/1988,0
01/01/1989,0
01/02/1989,0
01/03/1989,0
01/04/1989,0
01/05/1989,0
01/06/1989,0
01/07/1989,0
01/08/1989,0
01/09/1989,0
01/10/1989,0
01/11/1989,0
01/12/1989,0
01/01/1990,0
01/02/1990,0
01/03/1990,0
01/04/1990,0
01/05/1990,0
01/06/1990,0
01/07/1990,1
01/08/1990,1
01/09/1990,1
01/10/1990,1
01/11/1990,1
01/12/1990,1
01/01/1991,1
01/02/1991,1
01/03/1991,0
01/04/1991,0
01/05/1991,0
01/06/1991,0
01/07/1991,0
01/08/1991,0
01/09/1991,0
01/10/1991,0
01/11/1991,0
01/12/1991,0
01/01/1992,0
01/02/1992,0
01/03/1992,0
01/04/1992,0
01/05/1992,0
01/06/1992,0
