date,Mkt-RF,SMB,HML,RMW,CMA,RF
01/07/1978,5.11,0.12,-1.15,1.55,-0.78,0.56
01/08/1978,3.75,4.95,-0.51,1.43,0.46,0.56
01/09/1978,-1.43,-0.32,1.89,-0.67,1.78,0.62
01/10/1978,-11.91,-10.02,1.38,0.12,0.94,0.68
01/11/1978,2.71,2.81,-2.15,1.13,-1.17,0.7
01/12/1978,0.88,1.13,-2.13,2.01,-1.32,0.78
01/01/1979,4.23,3.78,2.19,-2.47,1.52,0.77
01/02/1979,-3.56,0.54,1.17,-1.12,0.94,0.73
01/03/1979,5.68,3.24,-0.71,0.53,0.32,0.81
01/04/1979,-0.06,2.37,1.12,1.08,0.17,0.8
01/05/1979,-2.21,0.18,1.31,-1.54,-0.27,0.82
01/06/1979,3.85,1,1.44,-1.66,-0.52,0.81
01/07/1979,0.82,1.27,1.86,-0.29,0.71,0.77
01/08/1979,5.53,1.92,-1.58,1.62,-1.48,0.77
01/09/1979,-0.82,-0.32,-0.9,1.01,0.32,0.83
01/10/1979,-8.1,-3.5,-1.84,1.01,0.07,0.87
01/11/1979,5.21,2.53,-3.29,0.06,-2.12,0.99
01/12/1979,1.79,4.32,-2.1,-0.7,-0.92,0.95
01/01/1980,5.51,1.83,1.75,-1.7,1.64,0.8
01/02/1980,-1.22,-1.57,0.61,0.04,2.68,0.89
01/03/1980,-12.9,-6.93,-1.01,1.46,-1.19,1.21
01/04/1980,3.97,1.05,1.06,-2.1,0.29,1.26
01/05/1980,5.26,2.11,0.38,0.34,-0.31,0.81
01/06/1980,3.06,1.41,-0.76,-0.15,-1.26,0.61
01/07/1980,6.49,3.82,-6.41,4.06,-2.43,0.53
01/08/1980,1.8,4.25,-2.6,2.06,-0.86,0.64
01/09/1980,2.19,0.67,-4.59,1.91,-2.76,0.75
01/10/1980,1.06,2.33,-2.76,1.65,-1.15,0.95
01/11/1980,9.59,-3.31,-8.33,4.5,-5.66,0.96
01/12/1980,-4.52,-0.29,2.79,-1.29,1.24,1.31
01/01/1981,-5.04,3.29,6.72,-3.51,4.33,1.04
01/02/1981,0.57,-0.5,1.02,0.21,2.22,1.07
01/03/1981,3.56,3.02,0.64,-2.24,-0.54,1.21
01/04/1981,-2.11,4.59,2.28,0.83,1.24,1.08
01/05/1981,0.11,2.45,-0.42,0.3,-1.53,1.15
01/06/1981,-2.36,-0.96,5.13,-1.37,2.66,1.35
01/07/1981,-1.54,-2.05,-0.5,1.26,-2.54,1.24
01/08/1981,-7.04,-1.81,4.76,-0.32,1.41,1.28
01/09/1981,-7.17,-2.45,5.17,0.08,2.63,1.24
01/10/1981,4.92,2.37,-4.21,3.15,-3.01,1.21
01/11/1981,3.36,-1.51,1.83,0.08,0.95,1.07
01/12/1981,-3.65,1.2,0.81,0.22,2.5,0.87
01/01/1982,-3.24,-1.14,3.19,-1.49,1.92,0.8
01/02/1982,-5.86,0.35,6.05,-3.48,4.56,0.92
01/03/1982,-1.87,-0.05,3.81,-1.38,2.49,0.98
01/04/1982,3.27,1.09,-2.7,1.57,-0.01,1.13
01/05/1982,-3.99,0.64,1.75,0.87,-0.3,1.06
01/06/1982,-3.09,-0.52,1.53,0.01,2.72,0.96
01/07/1982,-3.19,0.95,0.09,1.04,1.55,1.05
01/08/1982,11.14,-4.35,0.95,-1.89,0.09,0.76
